concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
62e81ce7-0044-4fad-8b39-ae045ff4e931,4231456,Has concept,2021-01-30,2099-12-31,NA
4231456,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,765741,Has concept,2021-01-30,2099-12-31,NA
765741,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,4211544,Has concept,2021-01-30,2099-12-31,NA
4211544,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,765741,Has concept,2021-01-30,2099-12-31,NA
765741,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,765717,Has concept,2021-01-30,2099-12-31,NA
765717,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,764840,Has concept,2021-01-30,2099-12-31,NA
764840,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919047,Has concept,2021-01-30,2099-12-31,NA
35919047,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919890,Has concept,2021-01-30,2099-12-31,NA
35919890,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919191,Has concept,2021-01-30,2099-12-31,NA
35919191,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919625,Has concept,2021-01-30,2099-12-31,NA
35919625,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919230,Has concept,2021-01-30,2099-12-31,NA
35919230,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919204,Has concept,2021-01-30,2099-12-31,NA
35919204,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919323,Has concept,2021-01-30,2099-12-31,NA
35919323,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919208,Has concept,2021-01-30,2099-12-31,NA
35919208,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919537,Has concept,2021-01-30,2099-12-31,NA
35919537,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919732,Has concept,2021-01-30,2099-12-31,NA
35919732,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919239,Has concept,2021-01-30,2099-12-31,NA
35919239,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919572,Has concept,2021-01-30,2099-12-31,NA
35919572,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919193,Has concept,2021-01-30,2099-12-31,NA
35919193,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919288,Has concept,2021-01-30,2099-12-31,NA
35919288,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919772,Has concept,2021-01-30,2099-12-31,NA
35919772,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919878,Has concept,2021-01-30,2099-12-31,NA
35919878,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919676,Has concept,2021-01-30,2099-12-31,NA
35919676,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919065,Has concept,2021-01-30,2099-12-31,NA
35919065,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,35919029,Has concept,2021-01-30,2099-12-31,NA
35919029,49ff7254-d678-495a-8dc9-f28d43cd4e65,Concept of,2021-01-30,2099-12-31,NA
